,Birth,Birth_rate,Death,Death_rate,Divorce,Divorce_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate
0,3.752,11.61,1875.0,5.8,814.0,2.5,2435.0,7.5,1877.0,5.8
1,1.903,15.06,924.0,7.3,220.0,1.7,828.0,6.6,979.0,7.7
2,2.398,14.75,1466.0,9.0,321.0,2.0,1055.0,6.5,932.0,5.7
3,3.057,14.39,1117.0,5.3,422.0,2.0,1577.0,7.4,1940.0,9.1
4,1.859,16.08,565.0,4.9,280.0,2.4,868.0,7.5,1294.0,11.2
5,1.966,14.91,1067.0,8.1,304.0,2.3,817.0,6.2,899.0,6.8
6,2.159,18.77,606.0,5.3,212.0,1.8,932.0,8.1,1553.0,13.5
7,13.527,17.85,3770.0,5.0,1931.0,2.5,5759.0,7.6,9757.0,12.9
8,3.362,14.14,2230.0,9.4,406.0,1.7,1691.0,7.1,1132.0,4.8
9,3.928,15.05,2125.0,8.1,577.0,2.2,2092.0,8.0,1803.0,6.9
10,3.32,15.61,957.0,4.5,604.0,2.8,1520.0,7.1,2363.0,11.1
11,0.842,18.45,288.0,6.3,136.0,3.0,396.0,8.7,554.0,12.1
12,2.547,14.97,1381.0,8.1,318.0,1.9,1131.0,6.6,1166.0,6.9
13,2.679,14.69,1771.0,9.7,363.0,2.0,1216.0,6.7,908.0,5.0
14,,,,,,,,,,
15,12.866,14.79,3931.0,4.5,1835.0,2.1,6781.0,7.8,8935.0,10.3
16,1.479,17.03,384.0,4.4,167.0,1.9,655.0,7.5,1095.0,12.6
17,61.644,15.37,24457.0,6.1,9045.0,2.3,30120.0,7.5,37187.0,9.3
18,3.632,12.02,1453.0,4.8,802.0,2.7,2057.0,6.8,2179.0,7.2
19,1.722,14.57,878.0,7.4,257.0,2.2,753.0,6.4,844.0,7.1
20,2.273,14.95,1120.0,7.4,326.0,2.1,893.0,5.9,1153.0,7.6
21,2.698,13.56,983.0,4.9,429.0,2.2,1439.0,7.2,1715.0,8.6
22,1.752,16.17,467.0,4.3,307.0,2.8,757.0,7.0,1285.0,11.9
23,1.78,14.44,898.0,7.3,315.0,2.6,710.0,5.8,882.0,7.2
24,1.916,17.78,494.0,4.6,205.0,1.9,780.0,7.2,1422.0,13.2
25,12.437,17.51,3080.0,4.3,2008.0,2.8,5036.0,7.1,9357.0,13.2
26,3.221,14.5,1899.0,8.5,408.0,1.8,1548.0,7.0,1322.0,6.0
27,3.612,14.79,1629.0,6.7,576.0,2.4,1882.0,7.7,1983.0,8.1
28,3.069,15.42,852.0,4.3,649.0,3.3,1261.0,6.3,2217.0,11.1
29,0.764,17.89,259.0,6.1,139.0,3.3,441.0,10.3,505.0,11.8
30,2.296,14.45,1212.0,7.6,332.0,2.1,975.0,6.1,1084.0,6.8
31,2.366,13.87,1537.0,9.0,376.0,2.2,1104.0,6.5,829.0,4.9
32,,,,,,,,,,
33,11.797,14.48,3218.0,4.0,1912.0,2.3,5596.0,6.9,8579.0,10.5
34,1.388,17.07,327.0,4.0,216.0,2.7,574.0,7.1,1061.0,13.0
35,56.723,15.11,20306.0,5.4,9392.0,2.5,26187.0,7.0,36417.0,9.7
36,3.935,12.19,1607.0,5.0,910.0,2.8,2024.0,6.3,2328.0,7.2
37,1.805,14.28,873.0,6.9,289.0,2.3,918.0,7.3,932.0,7.4
38,2.269,13.96,1325.0,8.2,390.0,2.4,1187.0,7.3,944.0,5.8
39,3.057,14.36,1024.0,4.8,498.0,2.3,1491.0,7.0,2033.0,9.6
40,1.835,15.81,516.0,4.4,380.0,3.3,925.0,8.0,1319.0,11.4
41,1.803,13.69,1022.0,7.8,377.0,2.9,882.0,6.7,781.0,5.9
42,1.893,16.42,499.0,4.3,328.0,2.8,958.0,8.3,1394.0,12.1
43,13.157,17.29,3325.0,4.4,2127.0,2.8,6119.0,8.0,9832.0,12.9
44,3.292,13.87,1887.0,8.0,473.0,2.0,1706.0,7.2,1405.0,5.9
45,3.972,15.21,1744.0,6.7,659.0,2.5,1900.0,7.3,2228.0,8.5
46,3.267,15.35,911.0,4.3,736.0,3.5,1520.0,7.1,2356.0,11.1
47,0.809,17.71,276.0,6.0,131.0,2.9,416.0,9.1,533.0,11.7
48,2.384,14.05,1241.0,7.3,418.0,2.5,1256.0,7.4,1143.0,6.7
49,2.423,13.31,1644.0,9.0,444.0,2.4,1282.0,7.0,779.0,4.3
50,,,,,,,,,,
51,12.453,14.29,3368.0,3.9,2333.0,2.7,6781.0,7.8,9085.0,10.4
52,1.524,17.51,330.0,3.8,226.0,2.6,623.0,7.2,1194.0,13.7
53,59.878,14.91,21592.0,5.4,10878.0,2.7,30418.0,7.6,38286.0,9.5
54,3.464,11.08,1541.0,4.9,721.0,2.3,1733.0,5.5,1923.0,6.2
55,1.647,13.46,873.0,7.1,240.0,2.0,898.0,7.3,774.0,6.3
56,2.076,13.19,1235.0,7.8,277.0,1.8,1190.0,7.6,841.0,5.3
57,2.753,13.36,946.0,4.6,357.0,1.7,1219.0,5.9,1807.0,8.8
58,1.69,15.02,460.0,4.1,250.0,2.2,813.0,7.2,1230.0,10.9
59,1.612,12.65,901.0,7.1,295.0,2.3,870.0,6.8,711.0,5.6
60,1.773,15.87,489.0,4.4,222.0,2.0,864.0,7.7,1284.0,11.5
61,11.698,15.83,3262.0,4.4,1812.0,2.5,6043.0,8.2,8436.0,11.4
62,2.968,12.92,1802.0,7.8,390.0,1.7,1396.0,6.1,1166.0,5.1
63,3.661,14.48,1648.0,6.5,521.0,2.1,1500.0,5.9,2013.0,8.0
64,2.683,13.0,925.0,4.5,592.0,2.9,1545.0,7.5,1758.0,8.5
65,0.68,15.36,242.0,5.5,123.0,2.8,375.0,8.5,438.0,9.9
66,2.054,12.51,1163.0,7.1,291.0,1.8,993.0,6.0,891.0,5.4
67,2.157,12.27,1409.0,8.0,309.0,1.8,1164.0,6.6,748.0,4.3
68,,,,,,,,,,
69,10.782,12.77,3204.0,3.8,1916.0,2.3,6667.0,7.9,7578.0,9.0
70,1.36,16.12,320.0,3.8,199.0,2.4,500.0,5.9,1040.0,12.3
71,53.058,13.64,20420.0,5.2,8640.0,2.2,28179.0,7.2,32638.0,8.4
72,3.511,10.88,1417.0,4.4,864.0,2.7,2501.0,7.7,2094.0,6.5
73,1.652,13.05,865.0,6.8,284.0,2.2,970.0,7.7,787.0,6.2
74,1.988,12.21,1234.0,7.6,338.0,2.1,1265.0,7.8,754.0,4.6
75,2.785,13.06,939.0,4.4,471.0,2.2,1802.0,8.5,1846.0,8.7
76,1.599,13.73,473.0,4.1,338.0,2.9,1001.0,8.6,1126.0,9.7
77,1.615,12.27,886.0,6.7,333.0,2.5,1118.0,8.5,729.0,5.5
78,1.698,14.7,477.0,4.1,243.0,2.1,969.0,8.4,1221.0,10.6
79,11.362,14.83,3201.0,4.2,2159.0,2.8,7143.0,9.3,8161.0,10.7
80,2.973,12.53,1781.0,7.5,439.0,1.8,1846.0,7.8,1192.0,5.0
81,3.516,13.45,1618.0,6.2,663.0,2.5,2220.0,8.5,1898.0,7.3
82,2.782,13.02,769.0,3.6,703.0,3.3,1924.0,9.0,2013.0,9.4
83,0.733,16.01,240.0,5.2,134.0,2.9,410.0,9.0,493.0,10.8
84,2.041,12.03,1216.0,7.2,391.0,2.3,1196.0,7.1,825.0,4.9
85,2.109,11.61,1402.0,7.7,380.0,2.1,1265.0,7.0,707.0,3.9
86,,,,,,,,,,
87,10.817,12.39,3064.0,3.5,2108.0,2.4,8428.0,9.7,7753.0,8.9
88,1.311,15.01,280.0,3.2,230.0,2.6,797.0,9.1,1031.0,11.8
89,52.492,13.04,19862.0,4.9,10210.0,2.5,35330.0,8.8,32630.0,8.1
90,2.949,9.45,1343.0,4.3,874.0,2.8,2160.0,6.9,1606.0,5.1
91,1.436,11.72,828.0,6.8,283.0,2.3,794.0,6.5,608.0,5.0
92,1.813,11.51,1170.0,7.4,383.0,2.4,987.0,6.3,643.0,4.1
93,2.321,11.25,841.0,4.1,438.0,2.1,1422.0,6.9,1480.0,7.2
94,1.409,12.49,439.0,3.9,296.0,2.6,806.0,7.1,970.0,8.6
95,1.495,11.74,866.0,6.8,337.0,2.6,884.0,6.9,629.0,4.9
96,1.539,13.79,415.0,3.7,251.0,2.2,776.0,7.0,1124.0,10.1
97,10.491,14.12,2956.0,4.0,2165.0,2.9,6147.0,8.3,7535.0,10.1
98,2.472,10.76,1660.0,7.2,471.0,2.1,1441.0,6.3,812.0,3.5
99,2.992,11.82,1509.0,6.0,677.0,2.7,1701.0,6.7,1483.0,5.9
100,2.603,12.57,833.0,4.0,652.0,3.1,1596.0,7.7,1770.0,8.5
101,0.611,13.78,213.0,4.8,158.0,3.6,322.0,7.3,398.0,9.0
102,1.865,11.36,1085.0,6.6,369.0,2.2,847.0,5.2,780.0,4.8
103,1.894,10.75,1385.0,7.9,343.0,1.9,949.0,5.4,509.0,2.9
104,,,,,,,,,,
105,9.743,11.53,2959.0,3.5,2264.0,2.7,7160.0,8.5,6784.0,8.0
106,1.141,13.48,284.0,3.4,239.0,2.8,649.0,7.7,857.0,10.1
107,46.774,12.0,18786.0,4.8,10324.0,2.6,29029.0,7.4,27988.0,7.2
108,3.113,9.66,1392.0,4.3,878.0,2.7,1450.0,4.5,1721.0,5.3
109,1.485,11.72,770.0,6.1,304.0,2.4,573.0,4.5,715.0,5.6
110,1.865,11.45,1118.0,6.9,382.0,2.3,698.0,4.3,747.0,4.6
111,2.441,11.44,893.0,4.2,446.0,2.1,1011.0,4.7,1548.0,7.3
